Year,GoldPrice(24k_10g),Sensex
1980,1330.00,148.25
1981,1670.00,227.72
1982,1645.00,235.83
1983,1800.00,252.92
1984,1970.00,271.87
1985,2130.00,527.36
1986,2140.00,524.45
1987,2570.00,442.17
1988,3130.00,666.26
1989,3140.00,778.64
1990,3200.00,1048.29
1991,3466.00,1908.85
1992,4334.00,2615.37
1993,4140.00,3346.06
1994,4598.00,3926.9
1995,4680.00,3110.49
1996,5160.00,3085.2
1997,4725.00,3658.98
1998,4045.00,3055.41
1999,4234.00,5005.82
2000,4400.00,3972.12
2001,4300.00,3262.33
2002,4990.00,3377.28
2003,5600.00,5838.96
2004,5850.00,6602.69
2005,7000.00,9397.93
2006,8490.00,13786.91
2007,10800.00,20286.99
2008,12500.00,9647.31
2009,14500.00,17464.81
2010,18500.00,20509.09
2011,26400.00,15454.92
2012,31050.00,19426.71
2013,29600.00,21170.68
2014,28006.50,27499.42
2015,26343.50,26117.54
2016,28623.50,26626.46
2017,29667.50,34056.83
2018,31438.00,36068.33
2019,35220.00,41253.74
2020,48651.00,47751.33
2021,48720.00,58253.82
2022,52670.00,60840.74
2023,58385.00,64571.88
